Scope,Model,Category,MRR,P@5,P@10,Recall@10,Num_Queries
Overall,BGE_M3,All,0.5607279693486591,0.23448275862068968,0.1482758620689655,0.4050903119868637,29
Overall,LEGAL_BERT,All,0.02011494252873563,0.013793103448275864,0.006896551724137932,0.012643678160919542,29
Overall,MSBERT,All,0.3852353585112206,0.16551724137931037,0.10689655172413795,0.2513136288998358,29
Language,BGE_M3,Code-Switched,1.0,0.2,0.1,0.5,1
Language,BGE_M3,English,0.5666666666666667,0.275,0.1875,0.32678571428571423,8
Language,BGE_M3,Tagalog,0.536388888888889,0.22000000000000003,0.13500000000000004,0.43166666666666664,20
Language,LEGAL_BERT,Code-Switched,0.0,0.0,0.0,0.0,1
Language,LEGAL_BERT,English,0.041666666666666664,0.025,0.0125,0.020833333333333332,8
Language,LEGAL_BERT,Tagalog,0.0125,0.01,0.005,0.01,20
Language,MSBERT,Code-Switched,0.25,0.2,0.1,0.5,1
Language,MSBERT,English,0.7125,0.35,0.21250000000000002,0.3651785714285714,8
Language,MSBERT,Tagalog,0.26109126984126985,0.09000000000000001,0.065,0.19333333333333333,20
Semantic_Type,BGE_M3,Case-Law,0.5038194444444444,0.21250000000000002,0.125,0.4297619047619048,16
Semantic_Type,BGE_M3,Definitional,0.65,0.30000000000000004,0.1875,0.43749999999999994,8
Semantic_Type,BGE_M3,Procedural,0.6,0.2,0.15999999999999998,0.27428571428571424,5
Semantic_Type,LEGAL_BERT,Case-Law,0.0,0.0,0.0,0.0,16
Semantic_Type,LEGAL_BERT,Definitional,0.041666666666666664,0.025,0.0125,0.020833333333333332,8
Semantic_Type,LEGAL_BERT,Procedural,0.05,0.04,0.02,0.04,5
Semantic_Type,MSBERT,Case-Law,0.31542658730158735,0.17500000000000002,0.11875,0.3053571428571428,16
Semantic_Type,MSBERT,Definitional,0.578125,0.2,0.1125,0.23958333333333331,8
Semantic_Type,MSBERT,Procedural,0.3,0.08,0.06000000000000001,0.09714285714285714,5
