Model,Query_ID,Language,Semantic_Type,MRR,P@5,P@10,Recall@10,Retrieved_Ids,Ground_Truth_Ids
MSBERT,Q_007,Tagalog,Procedural,0.5,0.2,0.1,0.2,"[""PASSAGE_18522"", ""PASSAGE_23366"", ""PASSAGE_17284"", ""PASSAGE_14424"", ""PASSAGE_13076"", ""PASSAGE_27670"", ""PASSAGE_24291"", ""PASSAGE_23516"", ""PASSAGE_05343"", ""PASSAGE_17813""]","[""PASSAGE_23364"", ""PASSAGE_23366"", ""PASSAGE_23362"", ""PASSAGE_17474"", ""PASSAGE_23363""]"
MSBERT,Q_013,Code-Switched,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27589"", ""PASSAGE_10043"", ""PASSAGE_05500"", ""PASSAGE_12440"", ""PASSAGE_27579"", ""PASSAGE_27580"", ""PASSAGE_24789"", ""PASSAGE_07900"", ""PASSAGE_04361"", ""PASSAGE_16885""]","[""PASSAGE_12551"", ""PASSAGE_03566""]"
MSBERT,Q_018,Tagalog,Definitional,0.0,0.0,0.0,0.0,"[""PASSAGE_06174"", ""PASSAGE_27670"", ""PASSAGE_10150"", ""PASSAGE_06173"", ""PASSAGE_10232"", ""PASSAGE_06178"", ""PASSAGE_03047"", ""PASSAGE_17186"", ""PASSAGE_01320"", ""PASSAGE_06176""]","[""PASSAGE_14518"", ""PASSAGE_03576"", ""PASSAGE_03577"", ""PASSAGE_03574""]"
MSBERT,Q_020,English,Case-Law,1.0,0.6,0.3,0.42857142857142855,"[""PASSAGE_12460"", ""PASSAGE_12459"", ""PASSAGE_16953"", ""PASSAGE_14878"", ""PASSAGE_17179"", ""PASSAGE_13488"", ""PASSAGE_12808"", ""PASSAGE_12450"", ""PASSAGE_25151"", ""PASSAGE_13239""]","[""PASSAGE_12460"", ""PASSAGE_16107"", ""PASSAGE_12459"", ""PASSAGE_05937"", ""PASSAGE_17818"", ""PASSAGE_14878"", ""PASSAGE_16106""]"
MSBERT,Q_028,English,Case-Law,1.0,0.4,0.2,0.6666666666666666,"[""PASSAGE_18171"", ""PASSAGE_18160"", ""PASSAGE_19947"", ""PASSAGE_08670"", ""PASSAGE_04015"", ""PASSAGE_27404"", ""PASSAGE_18162"", ""PASSAGE_18172"", ""PASSAGE_27187"", ""PASSAGE_27233""]","[""PASSAGE_18171"", ""PASSAGE_18168"", ""PASSAGE_18160""]"
MSBERT,Q_033,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27670"", ""PASSAGE_10150"", ""PASSAGE_16774"", ""PASSAGE_11687"", ""PASSAGE_27657"", ""PASSAGE_16773"", ""PASSAGE_18522"", ""PASSAGE_10232"", ""PASSAGE_26284"", ""PASSAGE_08659""]","[""PASSAGE_12307"", ""PASSAGE_12299"", ""PASSAGE_12298"", ""PASSAGE_22528""]"
MSBERT,Q_044,English,Case-Law,1.0,1.0,0.6,0.6,"[""PASSAGE_04558"", ""PASSAGE_26203"", ""PASSAGE_26205"", ""PASSAGE_26225"", ""PASSAGE_28860"", ""PASSAGE_08160"", ""PASSAGE_05546"", ""PASSAGE_08161"", ""PASSAGE_05545"", ""PASSAGE_26218""]","[""PASSAGE_04558"", ""PASSAGE_05544"", ""PASSAGE_26198"", ""PASSAGE_26203"", ""PASSAGE_05546"", ""PASSAGE_26205"", ""PASSAGE_08162"", ""PASSAGE_26225"", ""PASSAGE_26219"", ""PASSAGE_28860""]"
MSBERT,Q_045,Tagalog,Case-Law,1.0,0.2,0.1,0.5,"[""PASSAGE_27670"", ""PASSAGE_11687"", ""PASSAGE_16774"", ""PASSAGE_10232"", ""PASSAGE_27657"", ""PASSAGE_10150"", ""PASSAGE_24332"", ""PASSAGE_16773"", ""PASSAGE_17186"", ""PASSAGE_08659""]","[""PASSAGE_27670"", ""PASSAGE_03566""]"
MSBERT,Q_051,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_14633"", ""PASSAGE_08611"", ""PASSAGE_19925"", ""PASSAGE_08624"", ""PASSAGE_05679"", ""PASSAGE_08612"", ""PASSAGE_22181"", ""PASSAGE_21392"", ""PASSAGE_27425"", ""PASSAGE_26135""]","[""PASSAGE_27363"", ""PASSAGE_27361"", ""PASSAGE_27365""]"
MSBERT,Q_064,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_12457"", ""PASSAGE_08829"", ""PASSAGE_00321"", ""PASSAGE_10232"", ""PASSAGE_00841"", ""PASSAGE_21780"", ""PASSAGE_04168"", ""PASSAGE_02941"", ""PASSAGE_04110"", ""PASSAGE_02633""]","[""PASSAGE_25118"", ""PASSAGE_25151"", ""PASSAGE_25196""]"
