Scope,Model,Category,MRR,P@5,P@10,Recall@10,Num_Queries
Overall,BGE_M3,All,0.8563218390804598,0.5310344827586209,0.26551724137931043,0.7273399014778325,29
Overall,LEGAL_BERT,All,0.15057471264367817,0.09655172413793105,0.05172413793103449,0.08776683087027914,29
Overall,MSBERT,All,0.43793103448275866,0.25517241379310346,0.14137931034482756,0.28407224958949095,29
Language,BGE_M3,Code-Switched,1.0,0.4,0.2,1.0,1
Language,BGE_M3,English,0.9375,0.6500000000000001,0.32500000000000007,0.5907738095238095,8
Language,BGE_M3,Tagalog,0.8166666666666667,0.49000000000000005,0.24500000000000002,0.7683333333333333,20
Language,LEGAL_BERT,Code-Switched,0.0,0.0,0.0,0.0,1
Language,LEGAL_BERT,English,0.375,0.2,0.11249999999999999,0.15357142857142858,8
Language,LEGAL_BERT,Tagalog,0.06833333333333333,0.06000000000000001,0.030000000000000006,0.06583333333333333,20
Language,MSBERT,Code-Switched,0.0,0.0,0.0,0.0,1
Language,MSBERT,English,0.6916666666666667,0.47500000000000003,0.275,0.5110119047619047,8
Language,MSBERT,Tagalog,0.3583333333333333,0.18000000000000002,0.09500000000000001,0.20749999999999996,20
Semantic_Type,BGE_M3,Case-Law,0.875,0.5125000000000001,0.25625000000000003,0.8273809523809523,16
Semantic_Type,BGE_M3,Definitional,0.8541666666666666,0.6000000000000001,0.30000000000000004,0.6770833333333333,8
Semantic_Type,BGE_M3,Procedural,0.8,0.48,0.24,0.48761904761904756,5
Semantic_Type,LEGAL_BERT,Case-Law,0.0625,0.025,0.01875,0.01875,16
Semantic_Type,LEGAL_BERT,Definitional,0.16666666666666666,0.125,0.0625,0.10416666666666666,8
Semantic_Type,LEGAL_BERT,Procedural,0.4066666666666666,0.27999999999999997,0.13999999999999999,0.28238095238095234,5
Semantic_Type,MSBERT,Case-Law,0.36458333333333337,0.225,0.125,0.2413690476190476,16
Semantic_Type,MSBERT,Definitional,0.5625,0.30000000000000004,0.17500000000000002,0.34375,8
Semantic_Type,MSBERT,Procedural,0.47333333333333333,0.28,0.14,0.3252380952380952,5
