query_id,query_text,language_label,semantic_type,relevant_passage_ids,retrieval_sources,split
Q_001,Pwede bang kasuhan ang seller kung walang binigay na resibo sa Shopee/Lazada order?,Tagalog,Case-Law,[],{},test
Q_002,Ano ang gagawin kapag na-scam ako sa Facebook Marketplace?,Tagalog,Definitional,"['PASSAGE_26220', 'PASSAGE_08841', 'PASSAGE_17646']","{'PASSAGE_26220': ['bge_m3'], 'PASSAGE_08841': ['bge_m3'], 'PASSAGE_17646': ['bge_m3']}",train
Q_003,Pwede bang i-report ang rider kung hindi niya dinedeliver pero marked as delivered?,Other,Case-Law,"['PASSAGE_18164', 'PASSAGE_18171']","{'PASSAGE_18164': ['bge_m3'], 'PASSAGE_18171': ['bge_m3']}",train
Q_004,What if someone used my GCash number to receive scam money?,English,Case-Law,"['PASSAGE_17646', 'PASSAGE_12299', 'PASSAGE_02241', 'PASSAGE_02240', 'PASSAGE_17635', 'PASSAGE_21529', 'PASSAGE_17310']","{'PASSAGE_17646': ['msbert'], 'PASSAGE_12299': ['bge_m3'], 'PASSAGE_02241': ['msbert'], 'PASSAGE_02240': ['bge_m3'], 'PASSAGE_17635': ['msbert'], 'PASSAGE_21529': ['bge_m3'], 'PASSAGE_17310': ['msbert']}",train
Q_005,Pwede bang kasuhan ang kapitbahay na nag-video sa loob ng bahay namin without permission?,Tagalog,Case-Law,['PASSAGE_12551'],{'PASSAGE_12551': ['bge_m3']},train
Q_006,Ano ang gagawin kapag may nag-post ng fake hiring job na nanghihingi ng placement fee?,Tagalog,Definitional,"['PASSAGE_08161', 'PASSAGE_26203', 'PASSAGE_26198', 'PASSAGE_05547', 'PASSAGE_05546']","{'PASSAGE_08161': ['bge_m3'], 'PASSAGE_26203': ['msbert'], 'PASSAGE_26198': ['bge_m3'], 'PASSAGE_05547': ['bge_m3'], 'PASSAGE_05546': ['bge_m3']}",train
Q_007,Pwede bang magreklamo kung hindi binibigay ng employer ang 13th month pay?,Tagalog,Procedural,"['PASSAGE_23364', 'PASSAGE_23366', 'PASSAGE_23362', 'PASSAGE_17474', 'PASSAGE_23363']","{'PASSAGE_23364': ['bge_m3'], 'PASSAGE_23366': ['msbert'], 'PASSAGE_23362': ['bge_m3'], 'PASSAGE_17474': ['bge_m3'], 'PASSAGE_23363': ['bge_m3']}",test
Q_008,What if company keeps delaying SSS contribution posting?,English,Case-Law,"['PASSAGE_17030', 'PASSAGE_17032']","{'PASSAGE_17030': ['msbert', 'bge_m3'], 'PASSAGE_17032': ['bge_m3']}",train
Q_009,Pwede bang idemanda ang landlord na biglang nagtaas ng rent without agreement?,Tagalog,Case-Law,"['PASSAGE_25951', 'PASSAGE_04246', 'PASSAGE_04245', 'PASSAGE_25952', 'PASSAGE_04254']","{'PASSAGE_25951': ['msbert'], 'PASSAGE_04246': ['bge_m3'], 'PASSAGE_04245': ['bge_m3'], 'PASSAGE_25952': ['msbert'], 'PASSAGE_04254': ['bge_m3']}",train
Q_010,Ano ang rights ko kapag pinapalayas ako ng landlord nang walang notice?,Tagalog,Definitional,"['PASSAGE_14292', 'PASSAGE_04252', 'PASSAGE_04253']","{'PASSAGE_14292': ['bge_m3'], 'PASSAGE_04252': ['bge_m3'], 'PASSAGE_04253': ['bge_m3']}",train
Q_011,Pwede bang kasuhan ang taong nag-post ng fake scandal tungkol sa akin sa FB?,Tagalog,Case-Law,"['PASSAGE_13077', 'PASSAGE_12551', 'PASSAGE_13076']","{'PASSAGE_13077': ['bge_m3'], 'PASSAGE_12551': ['bge_m3'], 'PASSAGE_13076': ['legal_bert']}",train
Q_012,What if someone is using my photos to scam other people online?,English,Case-Law,"['PASSAGE_11104', 'PASSAGE_26517', 'PASSAGE_11103', 'PASSAGE_17646', 'PASSAGE_11102', 'PASSAGE_12551']","{'PASSAGE_11104': ['bge_m3'], 'PASSAGE_26517': ['legal_bert', 'bge_m3'], 'PASSAGE_11103': ['bge_m3'], 'PASSAGE_17646': ['msbert'], 'PASSAGE_11102': ['bge_m3'], 'PASSAGE_12551': ['msbert', 'bge_m3']}",train
Q_013,Pwede bang idemanda ang ex na naglalabas ng private chat screenshots?,Code-Switched,Case-Law,"['PASSAGE_12551', 'PASSAGE_03566']","{'PASSAGE_12551': ['bge_m3'], 'PASSAGE_03566': ['bge_m3']}",test
Q_014,Ano ang legal remedy kapag may taong naninira ng business via fake reviews?,Tagalog,Definitional,['PASSAGE_09164'],{'PASSAGE_09164': ['msbert']},train
Q_015,Pwede bang kasuhan ang kapitbahay na sinira ang CCTV camera ko?,Tagalog,Case-Law,['PASSAGE_24889'],{'PASSAGE_24889': ['bge_m3']},train
Q_016,What happens if someone refuses to return borrowed phone or laptop?,English,Case-Law,"['PASSAGE_05639', 'PASSAGE_05640', 'PASSAGE_15097']","{'PASSAGE_05639': ['msbert'], 'PASSAGE_05640': ['bge_m3'], 'PASSAGE_15097': ['bge_m3']}",train
Q_017,Pwede bang magreklamo kung pinipilit akong magbayad ng utang na hindi ko inutang?,Tagalog,Procedural,[],{},test
Q_018,Ano ang rights ng student kapag pinahiya siya publicly ng teacher?,Tagalog,Definitional,"['PASSAGE_14518', 'PASSAGE_03576', 'PASSAGE_03577', 'PASSAGE_03574']","{'PASSAGE_14518': ['bge_m3'], 'PASSAGE_03576': ['bge_m3'], 'PASSAGE_03577': ['bge_m3'], 'PASSAGE_03574': ['bge_m3']}",test
Q_019,Pwede bang kasuhan ang employer na pinilit akong mag-resign?,Tagalog,Case-Law,"['PASSAGE_17817', 'PASSAGE_09976', 'PASSAGE_13795', 'PASSAGE_15395']","{'PASSAGE_17817': ['bge_m3'], 'PASSAGE_09976': ['bge_m3'], 'PASSAGE_13795': ['bge_m3'], 'PASSAGE_15395': ['bge_m3']}",train
