Model,Query_ID,Language,Semantic_Type,MRR,P@5,P@10,Recall@10,Retrieved_Ids,Ground_Truth_Ids
MSBERT,Q_007,Tagalog,Procedural,1.0,0.2,0.1,0.2,"[""PASSAGE_23366"", ""PASSAGE_01879"", ""PASSAGE_23566"", ""PASSAGE_21578"", ""PASSAGE_01627"", ""PASSAGE_13815"", ""PASSAGE_23367"", ""PASSAGE_11908"", ""PASSAGE_00008"", ""PASSAGE_03020""]","[""PASSAGE_23364"", ""PASSAGE_23366"", ""PASSAGE_23362"", ""PASSAGE_17474"", ""PASSAGE_23363""]"
MSBERT,Q_013,Code-Switched,Case-Law,0.25,0.2,0.1,0.5,"[""PASSAGE_27579"", ""PASSAGE_27589"", ""PASSAGE_10043"", ""PASSAGE_12551"", ""PASSAGE_04361"", ""PASSAGE_17970"", ""PASSAGE_12459"", ""PASSAGE_05516"", ""PASSAGE_06999"", ""PASSAGE_16910""]","[""PASSAGE_12551"", ""PASSAGE_03566""]"
MSBERT,Q_018,Tagalog,Definitional,0.125,0.0,0.1,0.25,"[""PASSAGE_03586"", ""PASSAGE_27801"", ""PASSAGE_01320"", ""PASSAGE_00165"", ""PASSAGE_04084"", ""PASSAGE_03428"", ""PASSAGE_28190"", ""PASSAGE_03574"", ""PASSAGE_00049"", ""PASSAGE_04154""]","[""PASSAGE_14518"", ""PASSAGE_03576"", ""PASSAGE_03577"", ""PASSAGE_03574""]"
MSBERT,Q_020,English,Case-Law,1.0,0.4,0.2,0.2857142857142857,"[""PASSAGE_12459"", ""PASSAGE_12460"", ""PASSAGE_25118"", ""PASSAGE_21813"", ""PASSAGE_13488"", ""PASSAGE_07545"", ""PASSAGE_25151"", ""PASSAGE_08641"", ""PASSAGE_14486"", ""PASSAGE_21812""]","[""PASSAGE_12460"", ""PASSAGE_16107"", ""PASSAGE_12459"", ""PASSAGE_05937"", ""PASSAGE_17818"", ""PASSAGE_14878"", ""PASSAGE_16106""]"
MSBERT,Q_028,English,Case-Law,1.0,0.4,0.2,0.6666666666666666,"[""PASSAGE_18171"", ""PASSAGE_14427"", ""PASSAGE_18160"", ""PASSAGE_00604"", ""PASSAGE_02620"", ""PASSAGE_26682"", ""PASSAGE_24019"", ""PASSAGE_00839"", ""PASSAGE_18172"", ""PASSAGE_22500""]","[""PASSAGE_18171"", ""PASSAGE_18168"", ""PASSAGE_18160""]"
MSBERT,Q_033,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_27670"", ""PASSAGE_26284"", ""PASSAGE_10150"", ""PASSAGE_04331"", ""PASSAGE_28713"", ""PASSAGE_16773"", ""PASSAGE_24332"", ""PASSAGE_11316"", ""PASSAGE_04343"", ""PASSAGE_18522""]","[""PASSAGE_12307"", ""PASSAGE_12299"", ""PASSAGE_12298"", ""PASSAGE_22528""]"
MSBERT,Q_044,English,Case-Law,1.0,0.8,0.6,0.6,"[""PASSAGE_26225"", ""PASSAGE_04558"", ""PASSAGE_28860"", ""PASSAGE_08160"", ""PASSAGE_26203"", ""PASSAGE_26205"", ""PASSAGE_05545"", ""PASSAGE_08162"", ""PASSAGE_04559"", ""PASSAGE_08161""]","[""PASSAGE_04558"", ""PASSAGE_05544"", ""PASSAGE_26198"", ""PASSAGE_26203"", ""PASSAGE_05546"", ""PASSAGE_26205"", ""PASSAGE_08162"", ""PASSAGE_26225"", ""PASSAGE_26219"", ""PASSAGE_28860""]"
MSBERT,Q_045,Tagalog,Case-Law,0.14285714285714285,0.0,0.1,0.5,"[""PASSAGE_27580"", ""PASSAGE_24332"", ""PASSAGE_12460"", ""PASSAGE_26284"", ""PASSAGE_21814"", ""PASSAGE_21813"", ""PASSAGE_27670"", ""PASSAGE_03565"", ""PASSAGE_21812"", ""PASSAGE_24198""]","[""PASSAGE_27670"", ""PASSAGE_03566""]"
MSBERT,Q_051,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_14633"", ""PASSAGE_21392"", ""PASSAGE_24517"", ""PASSAGE_19925"", ""PASSAGE_08611"", ""PASSAGE_10147"", ""PASSAGE_17102"", ""PASSAGE_26308"", ""PASSAGE_22181"", ""PASSAGE_08284""]","[""PASSAGE_27363"", ""PASSAGE_27361"", ""PASSAGE_27365""]"
MSBERT,Q_064,Tagalog,Case-Law,0.14285714285714285,0.0,0.1,0.3333333333333333,"[""PASSAGE_12459"", ""PASSAGE_12551"", ""PASSAGE_00534"", ""PASSAGE_00321"", ""PASSAGE_08829"", ""PASSAGE_12460"", ""PASSAGE_25151"", ""PASSAGE_02941"", ""PASSAGE_03437"", ""PASSAGE_02633""]","[""PASSAGE_25118"", ""PASSAGE_25151"", ""PASSAGE_25196""]"
MSBERT,Q_068,Tagalog,Case-Law,0.1111111111111111,0.0,0.1,0.16666666666666666,"[""PASSAGE_13807"", ""PASSAGE_17707"", ""PASSAGE_21380"", ""PASSAGE_21446"", ""PASSAGE_08183"", ""PASSAGE_13806"", ""PASSAGE_04297"", ""PASSAGE_15596"", ""PASSAGE_09970"", ""PASSAGE_05509""]","[""PASSAGE_10510"", ""PASSAGE_09970"", ""PASSAGE_24229"", ""PASSAGE_14691"", ""PASSAGE_13795"", ""PASSAGE_09976""]"
MSBERT,Q_069,Tagalog,Definitional,0.5,0.2,0.1,0.16666666666666666,"[""PASSAGE_15335"", ""PASSAGE_15431"", ""PASSAGE_13012"", ""PASSAGE_25395"", ""PASSAGE_27401"", ""PASSAGE_08486"", ""PASSAGE_25408"", ""PASSAGE_25283"", ""PASSAGE_26216"", ""PASSAGE_11177""]","[""PASSAGE_15431"", ""PASSAGE_06431"", ""PASSAGE_07923"", ""PASSAGE_11687"", ""PASSAGE_17490"", ""PASSAGE_27669""]"
MSBERT,Q_071,Tagalog,Definitional,1.0,0.2,0.1,0.5,"[""PASSAGE_27670"", ""PASSAGE_10150"", ""PASSAGE_26284"", ""PASSAGE_16773"", ""PASSAGE_08659"", ""PASSAGE_08661"", ""PASSAGE_11687"", ""PASSAGE_11148"", ""PASSAGE_27657"", ""PASSAGE_06174""]","[""PASSAGE_27670"", ""PASSAGE_05509""]"
MSBERT,Q_079,Tagalog,Case-Law,0.0,0.0,0.0,0.0,"[""PASSAGE_25242"", ""PASSAGE_12551"", ""PASSAGE_12459"", ""PASSAGE_13079"", ""PASSAGE_12286"", ""PASSAGE_07920"", ""PASSAGE_03549"", ""PASSAGE_21538"", ""PASSAGE_12548"", ""PASSAGE_25498""]","[""PASSAGE_13117"", ""PASSAGE_13091"", ""PASSAGE_13084""]"
MSBERT,Q_080,Tagalog,Procedural,0.0,0.0,0.0,0.0,"[""PASSAGE_12704"", ""PASSAGE_17567"", ""PASSAGE_21777"", ""PASSAGE_04760"", ""PASSAGE_17698"", ""PASSAGE_25863"", ""PASSAGE_05871"", ""PASSAGE_18451"", ""PASSAGE_15423"", ""PASSAGE_18160""]","[""PASSAGE_14870"", ""PASSAGE_16774"", ""PASSAGE_13738""]"
MSBERT,Q_088,Tagalog,Case-Law,0.2,0.2,0.1,1.0,"[""PASSAGE_25951"", ""PASSAGE_25952"", ""PASSAGE_04255"", ""PASSAGE_25961"", ""PASSAGE_04252"", ""PASSAGE_14293"", ""PASSAGE_05174"", ""PASSAGE_18832"", ""PASSAGE_02104"", ""PASSAGE_10236""]","[""PASSAGE_04252""]"
MSBERT,Q_092,English,Definitional,0.5,0.2,0.1,0.16666666666666666,"[""PASSAGE_23099"", ""PASSAGE_22748"", ""PASSAGE_08940"", ""PASSAGE_12781"", ""PASSAGE_00207"", ""PASSAGE_23142"", ""PASSAGE_23090"", ""PASSAGE_23134"", ""PASSAGE_12325"", ""PASSAGE_04156""]","[""PASSAGE_23193"", ""PASSAGE_23100"", ""PASSAGE_22748"", ""PASSAGE_08944"", ""PASSAGE_09229"", ""PASSAGE_24928""]"
