query_id,query_text,language_label,semantic_type,relevant_passage_ids,split
Q_001,Pwede bang kasuhan ang seller kung walang binigay na resibo sa Shopee/Lazada order?,Tagalog,Case-Law,,test
Q_002,Ano ang gagawin kapag na-scam ako sa Facebook Marketplace?,Tagalog,Definitional,,train
Q_003,Pwede bang i-report ang rider kung hindi niya dinedeliver pero marked as delivered?,Other,Case-Law,,train
Q_004,What if someone used my GCash number to receive scam money?,English,Case-Law,,train
Q_005,Pwede bang kasuhan ang kapitbahay na nag-video sa loob ng bahay namin without permission?,Tagalog,Case-Law,,train
Q_006,Ano ang gagawin kapag may nag-post ng fake hiring job na nanghihingi ng placement fee?,Tagalog,Definitional,,train
Q_007,Pwede bang magreklamo kung hindi binibigay ng employer ang 13th month pay?,Tagalog,Procedural,,test
Q_008,What if company keeps delaying SSS contribution posting?,English,Case-Law,,train
Q_009,Pwede bang idemanda ang landlord na biglang nagtaas ng rent without agreement?,Tagalog,Case-Law,,train
Q_010,Ano ang rights ko kapag pinapalayas ako ng landlord nang walang notice?,Tagalog,Definitional,,train
Q_011,Pwede bang kasuhan ang taong nag-post ng fake scandal tungkol sa akin sa FB?,Tagalog,Case-Law,,train
Q_012,What if someone is using my photos to scam other people online?,English,Case-Law,,train
Q_013,Pwede bang idemanda ang ex na naglalabas ng private chat screenshots?,Code-Switched,Case-Law,,test
Q_014,Ano ang legal remedy kapag may taong naninira ng business via fake reviews?,Tagalog,Definitional,,train
Q_015,Pwede bang kasuhan ang kapitbahay na sinira ang CCTV camera ko?,Tagalog,Case-Law,,train
Q_016,What happens if someone refuses to return borrowed phone or laptop?,English,Case-Law,,train
Q_017,Pwede bang magreklamo kung pinipilit akong magbayad ng utang na hindi ko inutang?,Tagalog,Procedural,,test
Q_018,Ano ang rights ng student kapag pinahiya siya publicly ng teacher?,Tagalog,Definitional,,test
Q_019,Pwede bang kasuhan ang employer na pinilit akong mag-resign?,Tagalog,Case-Law,,train
Q_020,What if I was terminated through Messenger without hearing?,English,Case-Law,,test
Q_021,Pwede bang gamitin ang screenshot ng Messenger convo as proof sa kaso?,Code-Switched,Case-Law,,train
Q_022,Ano ang legal effect ng edited screenshots sa legal complaint?,English,Definitional,,train
Q_023,Pwede bang idemanda ang taong nag-hack ng Facebook ko at nag-message sa iba?,Tagalog,Case-Law,,train
Q_024,What if someone opened a loan under my name without permission?,English,Case-Law,,train
Q_025,Pwede bang kasuhan ang taong nag-post ng fake obituary tungkol sa akin?,Tagalog,Case-Law,,train
